cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-0046-31-1109149-1-1,Total Referencial:,44000,Total Recepcionado:,34000,,
20-0148-00-1101247-1-1,Total Referencial:,100000,Total Recepcionado:,71000,,
20-1335-00-1051065-0-E,Total Adjudicado:,49954,Total Recepcionado:,49954,,
20-0901-02-1092260-1-1,Total Referencial:,126500,Total Recepcionado:,126500,,
20-0902-00-1066970-1-1,Total Referencial:,2100000,Total Adjudicado:,1620000,Total Recepcionado:,1620000
20-0903-02-1052328-0-E,Total Adjudicado:,43413,Total Recepcionado:,3992,,
20-1311-00-1096540-1-1,Total Referencial:,33600,Total Recepcionado:,33600,,
21-1701-00-1188561-1-1,Total Referencial:,39128,,,,
21-1302-00-1180152-1-1,Total Referencial:,483000,Total Adjudicado:,85970,Total Recepcionado:,85970
20-1314-00-1076445-1-2,Total Referencial:,534466,Total Recepcionado:,489816.05,,
20-1605-00-1052678-0-E,Total Adjudicado:,235000,Total Recepcionado:,235000,,
20-1410-00-1041605-0-E,Total Adjudicado:,33000,Total Recepcionado:,33000,,
21-1221-00-1145689-1-1,Total Referencial:,36280.5,Total Recepcionado:,34170,,
20-0417-05-1075987-1-1,Total Referencial:,834000,Total Adjudicado:,490200,Total Recepcionado:,
20-0661-00-1092474-1-1,Total Referencial:,45756,Total Recepcionado:,44280,,
20-1312-00-1038605-0-E,Total Adjudicado:,99960,Total Recepcionado:,99960,,
20-1805-00-1037405-0-E,Total Adjudicado:,120000,Total Recepcionado:,120000,,
20-0908-00-1046956-0-E,Total Adjudicado:,27000,Total Recepcionado:,27000,,
20-1515-00-1088559-1-1,Total Referencial:,23736,Total Recepcionado:,23736,,
20-1101-00-1050592-0-E,Total Adjudicado:,49984.5,Total Recepcionado:,49984.5,,
20-0417-04-1047244-0-E,Total Adjudicado:,400000,,,,
21-0046-00-1180217-1-1,Total Referencial:,49500,Total Recepcionado:,40000,,
20-0046-00-1040174-0-E,Total Adjudicado:,80535,Total Recepcionado:,80535,,
20-0006-00-1051648-0-E,Total Adjudicado:,31220,Total Recepcionado:,31220,,
21-0903-00-1169485-1-1,Total Referencial:,,,,,
21-0903-00-1169485-1-1,Total Recepcionado:,,,,,
20-0046-28-1102142-1-1,Total Referencial:,50000,Total Recepcionado:,42500,,
20-0905-00-1038247-0-E,Total Adjudicado:,83250,Total Recepcionado:,83250,,
20-1734-00-1046676-0-E,Total Adjudicado:,25000,Total Recepcionado:,25000,,
20-1810-00-1092253-1-1,Total Referencial:,49600.6,Total Recepcionado:,45179.659999999996,,
21-0595-00-1119300-1-1,Total Referencial:,9000,Total Adjudicado:,8400,Total Recepcionado:,8400
21-0595-00-1119300-1-1,Total Referencial:,36750,Total Adjudicado:,11408,Total Recepcionado:,11408
21-0595-00-1119300-1-1,Total Referencial:,25850,Total Adjudicado:,20220,Total Recepcionado:,20220
21-0595-00-1119300-1-1,Total Referencial:,10800,Total Adjudicado:,9000,Total Recepcionado:,9000
21-0595-00-1119300-1-1,Total Referencial:,41600,Total Adjudicado:,39360,Total Recepcionado:,39360
21-0595-00-1119300-1-1,Total Referencial:,5200,Total Adjudicado:,3880,Total Recepcionado:,3880
21-0906-03-1182367-1-1,Total Referencial:,49980,Total Recepcionado:,49980,,
21-1701-00-1188607-1-1,Total Referencial:,45000,,,,
20-1712-00-1049827-0-E,Total Adjudicado:,50475,Total Recepcionado:,50475,,
21-1519-00-1174183-1-1,Total Referencial:,134045,Total Adjudicado:,95918,Total Recepcionado:,95918
20-1266-00-1039324-0-E,Total Adjudicado:,140650,Total Recepcionado:,140650,,
21-0417-06-1121893-1-2,Total Referencial:,185000,Total Adjudicado:,185000,Total Recepcionado:,185000
20-0660-13-1052476-0-E,Total Adjudicado:,34815.05,Total Recepcionado:,34815.05,,
21-0340-00-1156799-1-1,Total Referencial:,25000,Total Recepcionado:,20000,,
20-0903-00-1041412-0-E,Total Adjudicado:,103155,Total Recepcionado:,103155,,
21-1342-00-1138323-1-1,Total Referencial:,24980.440000000002,Total Recepcionado:,19995,,
20-0660-12-1050737-0-E,Total Adjudicado:,21465,Total Recepcionado:,21465,,
20-1607-00-1097468-1-1,Total Referencial:,94250,Total Recepcionado:,76800,,
20-1314-00-1100689-1-1,Total Referencial:,95213,Total Recepcionado:,94608,,
21-1335-00-1112600-1-1,Total Referencial:,48960,Total Recepcionado:,43056,,
20-1245-00-1096051-1-1,Total Referencial:,129503,Total Recepcionado:,129490,,
21-1541-00-1149419-1-1,Total Referencial:,174690,Total Adjudicado:,163980,Total Recepcionado:,163980
20-0901-00-1083795-1-1,Total Referencial:,151765,Total Adjudicado:,119765,Total Recepcionado:,151765
20-0902-06-1044852-0-E,Total Adjudicado:,20700,Total Recepcionado:,20700,,
21-0906-03-1186394-1-1,Total Referencial:,49980,Total Recepcionado:,49980,,
21-0417-06-1156497-1-1,Total Referencial:,46000,Total Recepcionado:,46000,,
20-0020-02-1041633-0-E,Total Adjudicado:,48997.1,Total Recepcionado:,48997.1,,
20-1301-00-1047249-0-E,Total Adjudicado:,450000,,,,
20-1206-00-1050727-0-E,Total Adjudicado:,25000,Total Recepcionado:,25000,,
20-0143-00-1090747-1-1,Total Referencial:,23000,Total Recepcionado:,17700,,
20-1414-00-1101689-1-1,Total Referencial:,27500,Total Recepcionado:,27500,,
20-1228-00-1084045-1-1,Total Referencial:,49000,Total Recepcionado:,49000,,
20-1312-00-1041871-0-E,Total Adjudicado:,28500,Total Recepcionado:,28500,,
20-3701-00-1090767-1-1,Total Referencial:,34000,Total Recepcionado:,26000,,
20-0902-00-1048895-0-E,Total Adjudicado:,44780,Total Recepcionado:,44780,,
20-1501-00-1049590-0-E,Total Adjudicado:,46504,,,,
21-0170-00-1137192-1-1,Total Referencial:,20915,Total Recepcionado:,20915,,
20-0423-00-1049684-0-E,Total Adjudicado:,25500,Total Recepcionado:,25500,,
20-1228-00-1084027-1-1,Total Referencial:,49985,Total Recepcionado:,49985,,
20-1103-00-1063828-2-1,Total Referencial:,465000,Total Adjudicado:,459200,Total Recepcionado:,459200
21-0271-00-1132766-1-1,Total Referencial:,50000,Total Recepcionado:,48000,,
20-1734-00-1094603-1-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-1401-00-1048868-0-E,Total Adjudicado:,26250,Total Recepcionado:,26250,,
20-1347-00-1082353-1-1,Total Referencial:,79900,Total Adjudicado:,79900,Total Recepcionado:,79900
21-0513-00-1160767-1-1,Total Referencial:,59722,Total Adjudicado:,54296.2,Total Recepcionado:,54296.2
20-0902-01-1091758-1-1,Total Referencial:,840000,Total Adjudicado:,600000,Total Recepcionado:,600000
20-1205-00-1090746-1-1,Total Referencial:,87400,Total Recepcionado:,50350,,
20-1901-00-1091317-1-1,Total Referencial:,178300,Total Recepcionado:,178300,,
20-4601-00-1050983-0-E,Total Adjudicado:,786480,,,,
20-1301-00-1044039-0-E,Total Adjudicado:,152472.4,,,,
20-1331-00-1090311-1-1,Total Referencial:,115000,Total Adjudicado:,70300,Total Recepcionado:,70300
21-1201-00-1173917-1-1,Total Referencial:,49961.04,Total Recepcionado:,46992,,
20-1312-00-1040952-0-E,Total Adjudicado:,287038,Total Recepcionado:,287038,,
20-1302-00-1048229-0-E,Total Adjudicado:,23040,Total Recepcionado:,23040,,
20-1119-00-1052229-2-1,Total Referencial:,157950,Total Adjudicado:,155250,Total Recepcionado:,155250
21-1346-00-1149658-1-1,Total Referencial:,31125,Total Recepcionado:,29453,,
20-0417-02-1049428-0-E,Total Adjudicado:,40566.229999999996,Total Recepcionado:,40566.229999999996,,
21-0417-06-1120419-1-1,Total Referencial:,195000,Total Adjudicado:,165000,Total Recepcionado:,165000
20-0046-28-1099533-1-1,Total Referencial:,49633,Total Recepcionado:,12284.3,,
20-1301-00-1086286-1-1,Total Referencial:,26000,Total Recepcionado:,26000,,
21-1201-00-1179068-1-1,Total Referencial:,99800,Total Adjudicado:,92800,Total Recepcionado:,92800
21-0901-00-1156086-1-1,Total Referencial:,702627.5,Total Adjudicado:,683817,Total Recepcionado:,683817
21-1205-00-1149927-1-1,Total Referencial:,300000,Total Adjudicado:,252000,Total Recepcionado:,252000
20-1739-00-1090202-1-1,Total Referencial:,165000,Total Recepcionado:,165000,,
20-0907-00-1058499-1-1,Total Referencial:,300000,Total Adjudicado:,275000,Total Recepcionado:,275000
20-0046-00-1039017-0-E,Total Adjudicado:,75000,,,,
20-1807-00-1048822-2-1,Total Referencial:,453114,Total Adjudicado:,232320,Total Recepcionado:,232320
20-0902-21-1046208-0-E,Total Adjudicado:,49412,Total Recepcionado:,49412,,
22-0046-20-1192815-1-1,Total Referencial:,199917.6,Total Adjudicado:,149462.8,Total Recepcionado:,149462.8
20-1301-00-1051184-0-E,Total Adjudicado:,39000,Total Recepcionado:,39000,,
20-1601-00-1041487-0-E,Total Adjudicado:,49880,Total Recepcionado:,49880,,
21-1701-00-1125502-2-1,Total Referencial:,168000,Total Adjudicado:,168000,Total Recepcionado:,168000
20-0046-26-1040239-0-E,Total Adjudicado:,42000,Total Recepcionado:,42000,,
20-0417-04-1047226-0-E,Total Adjudicado:,800000,,,,
20-1601-00-1041497-0-E,Total Adjudicado:,49900,Total Recepcionado:,49900,,
20-0417-05-1046375-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-1810-00-1041795-0-E,Total Adjudicado:,36000,,,,
20-1801-00-1038029-0-E,Total Adjudicado:,1197115,Total Recepcionado:,1197115,,
20-1284-00-1093564-1-1,Total Referencial:,94649.8,Total Adjudicado:,94275.4,,
20-0015-04-1063551-1-1,Total Referencial:,300000,Total Adjudicado:,160000,Total Recepcionado:,160000
21-0138-00-1125929-1-1,Total Referencial:,34580,Total Recepcionado:,34580,,
21-0517-00-1166202-1-1,Total Referencial:,89985,Total Adjudicado:,35994,Total Recepcionado:,35994
20-1101-00-1048996-0-E,Total Adjudicado:,49984.5,Total Recepcionado:,49984.5,,
20-1702-00-1034795-0-E,Total Adjudicado:,49977,Total Recepcionado:,49977,,
20-1301-00-1044871-0-E,Total Adjudicado:,608400,,,,
20-1734-00-1046562-0-E,Total Adjudicado:,77642.8,Total Recepcionado:,77642.8,,
20-1734-00-1094187-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0906-00-1038935-0-E,Total Adjudicado:,554400,Total Recepcionado:,554400,,
20-1601-00-1061851-1-1,Total Referencial:,240000,Total Adjudicado:,170000,,
20-0046-20-1102970-1-1,Total Referencial:,763042,Total Adjudicado:,482285,Total Recepcionado:,482285
20-0905-00-1047061-0-E,Total Adjudicado:,135000,Total Recepcionado:,135000,,
21-1526-00-1111290-1-2,Total Referencial:,38182.4,Total Recepcionado:,38182.4,,
20-1218-00-1092145-1-1,Total Referencial:,27841.1,Total Recepcionado:,27841.1,,
21-1339-00-1168982-1-2,Total Referencial:,112200,Total Adjudicado:,92290,Total Recepcionado:,92290
20-0417-09-1092487-1-1,Total Referencial:,540000,Total Recepcionado:,536625,,
20-0902-21-1041447-0-E,Total Adjudicado:,44000,Total Recepcionado:,44000,,
20-1334-00-1074269-1-1,Total Referencial:,752250,Total Adjudicado:,505271,Total Recepcionado:,505271
20-1605-00-1042985-0-E,Total Adjudicado:,51900,Total Recepcionado:,51900,,
20-1206-00-1038823-0-E,Total Adjudicado:,49000,Total Recepcionado:,49000,,
20-0905-00-1043706-0-E,Total Adjudicado:,163760,,,,
20-1312-00-1040465-0-E,Total Adjudicado:,67500,Total Recepcionado:,67500,,
21-0903-00-1152069-1-1,Total Referencial:,79992.36,Total Adjudicado:,68423.8,Total Recepcionado:,68423.8
20-1734-00-1094157-2-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
21-1412-00-1124546-1-1,Total Referencial:,25116,Total Recepcionado:,23478,,
20-0904-04-1040013-0-E,Total Adjudicado:,231900,Total Recepcionado:,231900,,
21-0411-00-1133152-1-1,Total Referencial:,357600,Total Recepcionado:,357600,,
21-1530-00-1179194-1-1,Total Referencial:,86410,Total Adjudicado:,38400,Total Recepcionado:,38400
20-0418-03-1091035-1-1,Total Referencial:,49400,Total Recepcionado:,49400,,
21-0513-00-1142498-1-1,Total Referencial:,62780,Total Adjudicado:,19432.6,Total Recepcionado:,19432.6
20-1247-00-1068139-2-1,Total Referencial:,1077428,Total Adjudicado:,1075822.9,Total Recepcionado:,1075822.9
20-0417-06-1092021-1-1,Total Referencial:,38000,Total Recepcionado:,17500,,
20-0908-00-1047634-0-E,Total Adjudicado:,25000,Total Recepcionado:,25000,,
20-1533-00-1079560-1-1,Total Referencial:,221190,Total Adjudicado:,211000,Total Recepcionado:,211000
20-1301-00-1044748-0-E,Total Adjudicado:,256700,,,,
20-0908-00-1047624-0-E,Total Adjudicado:,60000,,,,
20-1604-00-1040331-0-E,Total Adjudicado:,29998.8,Total Recepcionado:,29998.8,,
20-1124-00-1101571-1-1,Total Referencial:,65000,Total Recepcionado:,65000,,
20-1205-00-1046832-0-E,Total Adjudicado:,142100,,,,
20-1225-00-1098601-1-1,Total Referencial:,25000,Total Recepcionado:,25000,,
21-0046-22-1168211-1-1,Total Referencial:,99000,Total Adjudicado:,99000,,
20-1401-00-1039271-0-E,Total Adjudicado:,49850,Total Recepcionado:,49850,,
20-1739-00-1098224-1-1,Total Referencial:,38700,Total Recepcionado:,35260,,
20-1327-00-1056539-1-1,Total Referencial:,333675.8,Total Adjudicado:,41170.8,Total Recepcionado:,41170.8
20-1262-00-1046408-0-E,Total Adjudicado:,37670,Total Recepcionado:,37670,,
20-1734-00-1094204-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
21-0417-03-1128144-1-1,Total Referencial:,51142.71,Total Adjudicado:,50014.52,Total Recepcionado:,50014.52
20-1734-00-1094214-1-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-1346-00-1047059-0-E,Total Adjudicado:,20510,Total Recepcionado:,20510,,
20-0650-01-1050606-0-E,Total Adjudicado:,42800,Total Recepcionado:,42800,,
21-1529-00-1125523-1-1,Total Referencial:,99790,Total Adjudicado:,40000,Total Recepcionado:,40000
20-1306-00-1049697-0-E,Total Adjudicado:,48900,Total Recepcionado:,48900,,
21-0423-00-1105546-1-1,Total Referencial:,49400,Total Recepcionado:,33800,,
20-0046-20-1044683-0-E,Total Adjudicado:,23500,Total Recepcionado:,23500,,
21-1302-00-1109023-1-1,Total Referencial:,99812,Total Recepcionado:,99612,,
20-1215-00-1047834-0-E,Total Adjudicado:,99750,,,,
20-0903-00-1067074-1-1,Total Referencial:,110400,Total Adjudicado:,60306,Total Recepcionado:,60306
20-1266-00-1098298-1-1,Total Referencial:,89500,Total Recepcionado:,89500,,
21-1302-00-1109051-1-1,Total Referencial:,99887,Total Recepcionado:,99687,,
20-1326-00-1083072-1-1,Total Referencial:,117260,Total Adjudicado:,94376,Total Recepcionado:,94376
20-0046-00-1040191-0-E,Total Adjudicado:,446600,Total Recepcionado:,446600,,
20-0902-39-1039634-0-E,Total Adjudicado:,32000,Total Recepcionado:,32000,,
20-1909-00-1062244-1-1,Total Referencial:,419730,Total Adjudicado:,414975,Total Recepcionado:,414975
20-0313-00-1042877-0-E,Total Adjudicado:,48570,Total Recepcionado:,48570,,
20-1301-00-1038446-0-E,Total Adjudicado:,488460,,,,
20-1740-00-1059139-1-1,Total Referencial:,241610,Total Adjudicado:,240859,Total Recepcionado:,240859
20-0903-00-1093932-1-1,Total Referencial:,42000,Total Recepcionado:,42000,,
20-1263-00-1075089-1-1,Total Referencial:,250130.75,Total Adjudicado:,246475.23,Total Recepcionado:,246475.23
20-1235-00-1079951-1-1,Total Referencial:,107997.73,Total Adjudicado:,95268.79,Total Recepcionado:,95268.79
20-1604-00-1047073-0-E,Total Adjudicado:,204600,,,,
20-1430-00-1099125-1-1,Total Referencial:,61780,Total Recepcionado:,60900,,
20-1606-00-1039649-0-E,Total Adjudicado:,35779.8,Total Recepcionado:,35779.8,,
20-0513-00-1085116-1-1,Total Referencial:,89690,Total Adjudicado:,48931,Total Recepcionado:,48931
20-0417-06-1074740-1-1,Total Referencial:,780000,Total Adjudicado:,780000,Total Recepcionado:,780000
20-1401-00-1050420-0-E,Total Adjudicado:,20250,Total Recepcionado:,20250,,
20-0417-09-1058563-1-1,Total Referencial:,116990.3,Total Adjudicado:,22585,Total Recepcionado:,22585
20-1502-00-1087386-1-2,Total Referencial:,1000000,Total Adjudicado:,994000,Total Recepcionado:,994000
20-1327-00-1060083-1-2,Total Referencial:,1099500,Total Adjudicado:,748100,Total Recepcionado:,748100
21-0203-00-1106918-1-1,Total Referencial:,31602,Total Recepcionado:,27600,,
20-1734-00-1049043-0-E,Total Adjudicado:,93960,Total Recepcionado:,93960,,
21-0141-00-1114482-1-1,Total Referencial:,387950.99000000005,Total Adjudicado:,257045.5,Total Recepcionado:,257045.5
20-1301-00-1044652-0-E,Total Adjudicado:,620000,,,,
21-0902-39-1185743-1-1,Total Referencial:,411400,Total Adjudicado:,410960,,
21-0046-31-1157258-1-1,Total Referencial:,42000,Total Recepcionado:,40800,,
20-0660-07-1084159-1-1,Total Referencial:,49920,Total Recepcionado:,32760,,
20-0905-00-1046872-0-E,Total Adjudicado:,37000,Total Recepcionado:,37000,,
20-1301-00-1046022-0-E,Total Adjudicado:,16500,Total Recepcionado:,16500,,
21-0046-00-1136938-1-1,Total Referencial:,199998,Total Adjudicado:,199998,Total Recepcionado:,199998
20-1601-00-1047352-0-E,Total Adjudicado:,50000,,,,
20-0905-00-1044996-0-E,Total Adjudicado:,48600,,,,
20-0417-06-1079064-1-1,Total Referencial:,22000,Total Recepcionado:,22000,,
20-0020-10-1039227-0-E,Total Adjudicado:,21176.4,Total Recepcionado:,21176.4,,
20-1734-00-1047056-0-E,Total Adjudicado:,100000,Total Recepcionado:,100000,,
20-1330-00-1099486-1-1,Total Referencial:,,,,,
20-1330-00-1099486-1-1,Total Recepcionado:,,,,,
21-0146-00-1133889-1-1,Total Referencial:,326400,Total Adjudicado:,62600,Total Recepcionado:,62600
20-1606-00-1048986-0-E,Total Adjudicado:,139000,Total Recepcionado:,139000,,
20-1508-00-1048342-0-E,Total Adjudicado:,24575,Total Recepcionado:,24575,,
21-0025-00-1140805-1-1,Total Referencial:,40000,Total Recepcionado:,39999,,
20-1606-00-1048167-0-E,Total Adjudicado:,26000,Total Recepcionado:,26000,,
20-1302-00-1051576-0-E,Total Adjudicado:,230000,Total Recepcionado:,230000,,
20-1312-00-1040417-0-E,Total Adjudicado:,187500,Total Recepcionado:,187500,,
20-1501-00-1086718-1-1,Total Referencial:,19491300,Total Recepcionado:,11558340.9,,
21-0417-06-1151309-1-1,Total Referencial:,32000,Total Recepcionado:,10000,,
20-1801-00-1042541-0-E,Total Adjudicado:,27380,Total Recepcionado:,27380,,
20-1301-00-1044783-0-E,Total Adjudicado:,32475,,,,
21-0902-43-1178400-1-1,Total Referencial:,499986,Total Adjudicado:,499708.23000000004,Total Recepcionado:,499708.23000000004
20-4601-03-1075710-1-1,Total Referencial:,525000,Total Adjudicado:,498500,Total Recepcionado:,498500
20-0417-07-1039349-2-1,Total Referencial:,245000,Total Adjudicado:,203000,Total Recepcionado:,203000
20-0417-09-1034965-1-1,Total Referencial:,235900,Total Adjudicado:,235900,Total Recepcionado:,235900
20-1531-00-1082272-2-1,Total Referencial:,610660,Total Adjudicado:,610020,Total Recepcionado:,610020
21-0906-03-1135029-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0906-29-1082373-1-2,Total Referencial:,192340,Total Adjudicado:,169600,Total Recepcionado:,169600
20-1406-00-1073798-1-1,Total Referencial:,39000,Total Recepcionado:,37440,,
20-1342-00-1089142-1-1,Total Referencial:,347251,Total Adjudicado:,346961.2,Total Recepcionado:,346961.2
20-0310-00-1042785-0-E,Total Adjudicado:,22275,Total Recepcionado:,22275,,
20-0046-00-1039039-0-E,Total Adjudicado:,50600,Total Recepcionado:,50600,,
20-0903-02-1075150-1-1,Total Referencial:,28750,Total Recepcionado:,20930,,
20-1115-00-1045156-0-E,Total Adjudicado:,49500,Total Recepcionado:,49500,,
20-1604-00-1096755-1-1,Total Referencial:,,,,,
20-1604-00-1096755-1-1,Total Recepcionado:,,,,,
21-0417-06-1158864-1-1,Total Referencial:,330000,Total Adjudicado:,240000,Total Recepcionado:,240000
20-1801-00-1073699-1-1,Total Referencial:,60360,Total Recepcionado:,53560,,
20-0417-06-1082931-1-1,Total Referencial:,975000,Total Adjudicado:,442500,Total Recepcionado:,442500
20-1501-00-1081299-1-1,Total Referencial:,930000,Total Recepcionado:,927000,,
21-0417-06-1156688-1-1,Total Referencial:,161500,Total Adjudicado:,161000,Total Recepcionado:,161000
20-1735-00-1089406-1-1,Total Referencial:,194598.74000000002,Total Recepcionado:,185152.34,,
21-0423-00-1104626-1-1,Total Referencial:,49984,Total Recepcionado:,49984,,
20-1601-00-1093785-1-1,Total Referencial:,49918,Total Recepcionado:,29497,,
21-0901-02-1151455-1-1,Total Referencial:,95607.5,Total Recepcionado:,64120,,
21-1605-00-1129263-1-1,Total Referencial:,90000,Total Adjudicado:,52500,Total Recepcionado:,52500
21-1605-00-1129263-1-1,Total Referencial:,80000,Total Adjudicado:,50000,Total Recepcionado:,50000
20-1324-00-1046098-0-E,Total Adjudicado:,24350,Total Recepcionado:,24350,,
20-0902-01-1044196-0-E,Total Adjudicado:,49764,Total Recepcionado:,49764,,
20-1206-00-1052348-0-E,Total Adjudicado:,27622,Total Recepcionado:,27622,,
20-1707-00-1049643-0-E,Total Adjudicado:,200000,Total Recepcionado:,200000,,
20-0903-00-1041403-0-E,Total Adjudicado:,45759,Total Recepcionado:,45759,,
20-1247-00-1102074-1-1,Total Referencial:,191990,Total Recepcionado:,186730,,
20-0085-00-1042107-0-E,Total Adjudicado:,3520770,Total Recepcionado:,3520770,,
20-0903-00-1042769-0-E,Total Adjudicado:,29750,Total Recepcionado:,29750,,
21-1328-00-1149836-1-1,Total Referencial:,32062,Total Recepcionado:,32062,,
20-0906-03-1082705-1-1,Total Referencial:,299982,Total Adjudicado:,176460,Total Recepcionado:,176460
20-1507-00-1083439-1-1,Total Referencial:,174050,Total Adjudicado:,127150,Total Recepcionado:,127150
20-0903-00-1040061-0-E,Total Adjudicado:,1200000,Total Recepcionado:,1200000,,
21-0417-06-1185434-1-1,Total Referencial:,20100,Total Recepcionado:,8500,,
20-0046-26-1037456-1-1,Total Referencial:,87000,Total Adjudicado:,87000,Total Recepcionado:,87000
20-2315-00-1041962-0-E,Total Adjudicado:,28759.5,,,,
20-0433-00-1050266-0-E,Total Adjudicado:,49400,Total Recepcionado:,49400,,
20-1810-00-1049592-0-E,Total Adjudicado:,49560,Total Recepcionado:,49560,,
20-1801-00-1087317-1-1,Total Referencial:,410000,Total Recepcionado:,409999,,
21-1601-00-1132233-1-1,Total Referencial:,40000,Total Recepcionado:,20400,,
20-1805-00-1040478-0-E,Total Adjudicado:,100000,Total Recepcionado:,100000,,
20-1306-00-1051502-0-E,Total Adjudicado:,47135,Total Recepcionado:,47135,,
20-1431-00-1101234-1-1,Total Referencial:,26750,Total Recepcionado:,26750,,
20-1431-00-1101234-1-1,Total Referencial:,207840,Total Recepcionado:,207840,,
20-1431-00-1101234-1-1,Total Referencial:,120680,Total Recepcionado:,120680,,
20-0046-00-1051856-1-1,Total Referencial:,199800,Total Adjudicado:,155155,Total Recepcionado:,155155
20-1303-00-1046157-0-E,Total Adjudicado:,45100,Total Recepcionado:,45100,,
20-1604-00-1040433-0-E,Total Adjudicado:,49995,Total Recepcionado:,49995,,
20-1803-00-1050975-0-E,Total Adjudicado:,82400,Total Recepcionado:,82400,,
20-1201-00-1038606-0-E,Total Adjudicado:,24000,Total Recepcionado:,24000,,
21-0435-00-1155319-1-1,Total Referencial:,100000,Total Adjudicado:,100000,Total Recepcionado:,55790
20-1604-00-1050077-0-E,Total Adjudicado:,409803.6,,,,
21-0902-01-1183924-1-1,Total Referencial:,49648,Total Recepcionado:,12412,,
20-0046-00-1093478-1-1,Total Referencial:,48450,Total Recepcionado:,45925,,
21-0046-00-1150986-1-1,Total Referencial:,49986,Total Recepcionado:,49986,,
20-1305-00-1048606-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-1305-00-1099189-1-1,Total Referencial:,,,,,
20-1305-00-1099189-1-1,Total Recepcionado:,,,,,
21-0417-06-1123258-1-2,Total Referencial:,187500,Total Adjudicado:,29250,Total Recepcionado:,29250
20-1324-00-1046502-0-E,Total Adjudicado:,22050,Total Recepcionado:,22050,,
20-1303-00-1041821-0-E,Total Adjudicado:,45000,Total Recepcionado:,45000,,
21-1519-00-1109838-1-1,Total Referencial:,49450,Total Recepcionado:,40850,,
21-0046-00-1114237-1-1,Total Referencial:,44200,Total Recepcionado:,31050,,
20-1338-00-1064029-1-1,Total Referencial:,165390,Total Adjudicado:,156000,Total Recepcionado:,156000
21-0422-00-1151845-1-1,Total Referencial:,150000,Total Adjudicado:,68020,Total Recepcionado:,68020
20-1805-00-1037414-0-E,Total Adjudicado:,101300,Total Recepcionado:,101300,,
20-0417-07-1080036-1-1,Total Referencial:,78000,Total Recepcionado:,30420,,
21-0417-09-1122128-1-1,Total Referencial:,45980,Total Recepcionado:,33880,,
20-1301-00-1044812-0-E,Total Adjudicado:,246660,,,,
20-1201-00-1085406-1-1,Total Referencial:,34000,Total Recepcionado:,33620,,
20-1601-00-1041936-0-E,Total Adjudicado:,49000,Total Recepcionado:,49000,,
20-0417-07-1078374-1-1,Total Referencial:,27000,Total Recepcionado:,27000,,
20-1801-00-1043535-0-E,Total Adjudicado:,34410,Total Recepcionado:,34410,,
20-1810-00-1045081-0-E,Total Adjudicado:,26000,,,,
20-1805-00-1051781-0-E,Total Adjudicado:,400000,Total Recepcionado:,400000,,
20-1206-00-1042098-0-E,Total Adjudicado:,125437.5,Total Recepcionado:,125437.5,,
20-1115-00-1088564-1-1,Total Referencial:,49970.119999999995,Total Recepcionado:,49970.119999999995,,
20-1301-00-1085773-1-1,Total Referencial:,40000,Total Recepcionado:,36000,,
20-1305-00-1047752-0-E,Total Adjudicado:,31020,Total Recepcionado:,31020,,
20-1734-00-1046677-0-E,Total Adjudicado:,100000,Total Recepcionado:,100000,,
20-1201-00-1093668-1-1,Total Referencial:,45617,Total Recepcionado:,43945,,
20-1312-00-1046260-0-E,Total Adjudicado:,72600,Total Recepcionado:,137850,,
21-0660-13-1107088-1-1,Total Referencial:,59499.3,Total Adjudicado:,40623.659999999996,Total Recepcionado:,40623.659999999996
20-0138-00-1085742-1-1,Total Referencial:,1460320,Total Adjudicado:,817630,Total Recepcionado:,817630
20-0411-00-1077215-1-1,Total Referencial:,402690,Total Recepcionado:,402690,,
20-1227-00-1095667-1-1,Total Referencial:,60810,Total Recepcionado:,60810,,
20-1306-00-1039682-0-E,Total Adjudicado:,171140,Total Recepcionado:,171140,,
21-0046-33-1162224-1-1,Total Referencial:,135000,Total Adjudicado:,125000,Total Recepcionado:,125000
20-0417-09-1089139-1-1,Total Referencial:,81600,Total Adjudicado:,81600,Total Recepcionado:,81600
20-1430-00-1102234-1-1,Total Referencial:,23950,Total Recepcionado:,23887,,
20-0902-43-1046142-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1301-00-1100106-1-1,Total Referencial:,800000,Total Recepcionado:,542350,,
21-0902-39-1140596-3-1,Total Referencial:,64017,Total Adjudicado:,63897,Total Recepcionado:,63897
20-0418-10-1047064-0-E,Total Adjudicado:,87650,,,,
20-1701-00-1047928-0-E,Total Adjudicado:,28608,Total Recepcionado:,28608,,
20-1221-00-1039367-0-E,Total Adjudicado:,536340,Total Recepcionado:,536340,,
